2017-11-23 07:23:26, startLog
2017-11-23 07:23:30, 164433105, 8.8.8.8, alive
2017-11-23 07:23:30, 113066559, 8.8.8.8, alive
2017-11-23 07:23:30, 469824311, 8.8.8.8, alive
2017-11-23 07:23:45, 164433105, 192.168.254.1, dead
2017-11-23 07:23:45, 164433105, 192.168.100.1, dead
2017-11-23 07:23:45, 113066559, 192.168.100.1, dead
2017-11-23 07:23:46, 469824311, 192.168.254.1, dead
2017-11-23 07:23:46, 113066559, 192.168.254.1, dead
2017-11-23 07:23:46, 469824311, 192.168.100.1, dead
2017-11-23 07:24:26, endLog
2017-11-23 07:24:26, 113066559, 192.168.100.1, alive
2017-11-23 07:24:27, 164433105, 192.168.254.1, alive
2017-11-23 07:24:27, 469824311, 192.168.254.1, alive
2017-11-23 07:24:27, 113066559, 192.168.254.1, alive
2017-11-23 07:24:27, 164433105, 192.168.100.1, alive
2017-11-23 07:24:27, 469824311, 192.168.100.1, alive
